"TRNAT13"	"1857075"	"1"	"1881339"	"7"	
"RNASE3"	"1870053"	"1"	"1881340"	"6"	
"IGLV3-15"	"1868751"	"1"	"1881341"	"8"	
"ZBTB17"	"1878008"	"1"	"1881342"	"6"	
"RAB27A"	"1872873"	"1"	"1881343"	"6"	
"UCKL1"	"1877482"	"1"	"1881344"	"5"	
"PKD1P2"	"1850896"	"1"	"1881345"	"6"	
"RP6"	"1878835"	"1"	"1881346"	"3"	
"FABP5P11"	"1853271"	"1"	"1881347"	"8"	
"SGCE"	"1878708"	"1"	"1881348"	"4"	
"ZNF559-ZNF177"	"1873557"	"1"	"1881349"	"13"	
"RNASE6"	"1879014"	"1"	"1881350"	"6"	
"OR4G3P"	"1864612"	"1"	"1881351"	"6"	
"LOC442446"	"1842925"	"1"	"1881352"	"9"	
"TRA@"	"1849646"	"1"	"1881353"	"4"	
"ARHGEF18"	"1878959"	"1"	"1881354"	"8"	
"LOC284379"	"1853547"	"1"	"1881355"	"9"	
"OR4A42P"	"1837615"	"1"	"1881356"	"7"	
"THEMIS"	"1858439"	"1"	"1881357"	"6"	
"FAM65C"	"1845394"	"1"	"1881358"	"6"	
"ZAP70"	"1838263"	"1"	"1881359"	"5"	
"DYTN"	"1861803"	"1"	"1881360"	"4"	
"DEFB136"	"1841607"	"1"	"1881361"	"7"	
"ZNF187"	"1840403"	"1"	"1881362"	"6"	
"SNORA71B"	"1853655"	"1"	"1881363"	"8"	
"LOC402230"	"1844731"	"1"	"1881364"	"9"	
"CLDN10"	"1859060"	"1"	"1881365"	"6"	
"NFATC3"	"1841426"	"1"	"1881366"	"6"	
"DNAJA1P4"	"1859519"	"1"	"1881367"	"8"	
"ATP5A1P5"	"1873166"	"1"	"1881368"	"8"	
"GALNT6"	"1847608"	"1"	"1881369"	"6"	
"TMSL7"	"1861094"	"1"	"1881370"	"5"	
"COQ7"	"1853305"	"1"	"1881371"	"4"	
"BPHL"	"1863470"	"1"	"1881372"	"4"	
"MGAT4C"	"1861325"	"1"	"1881373"	"6"	
"KHDC1"	"1875910"	"1"	"1881374"	"5"	
"LOC100505822"	"1854234"	"1"	"1881375"	"12"	
"LOC100653085"	"1838901"	"1"	"1881376"	"12"	
"ALDH5A1"	"1849163"	"1"	"1881377"	"7"	
"LOC100287033"	"1845936"	"1"	"1881378"	"12"	
"LOC100653161"	"1845572"	"1"	"1881379"	"12"	
"PRKAA1"	"1838463"	"1"	"1881380"	"6"	
"LOC100505841"	"1867575"	"1"	"1881381"	"12"	
"MRX86"	"1858552"	"1"	"1881382"	"5"	
"TRNAE-CUC"	"1862231"	"1"	"1881383"	"9"	
"CPEB1"	"1842803"	"1"	"1881384"	"5"	
"TEN1"	"1843032"	"1"	"1881385"	"4"	
"LOC100132741"	"1862845"	"1"	"1881386"	"12"	
"OR10AB1P"	"1866933"	"1"	"1881387"	"8"	
"EPF8"	"1854603"	"1"	"1881388"	"4"	
"MIR548B"	"1839869"	"1"	"1881389"	"7"	
"LOC100422137"	"1873391"	"1"	"1881390"	"12"	
"PCBP2P1"	"1864684"	"1"	"1881391"	"7"	
"HMGA1P1"	"1839997"	"1"	"1881392"	"7"	
"ZSCAN1"	"1838540"	"1"	"1881393"	"6"	
"OOSP1"	"1867349"	"1"	"1881394"	"5"	
"NTF6A"	"1856359"	"1"	"1881395"	"5"	
"GRSF1"	"1842037"	"1"	"1881396"	"5"	
"GABRG2"	"1842621"	"1"	"1881397"	"6"	
"GTPBP2"	"1877192"	"1"	"1881398"	"6"	
"BOS2"	"1859254"	"1"	"1881399"	"4"	
