GPL_ID	PROBE_NAME	GENE_SYMBOL	ENTREZ_ID	ORGANISM
GENE-EXPRESSION-1	NM_001710.5	CFB	629	Homo sapiens
GENE-EXPRESSION-1	NM_001928.2	CFD	1675	Homo sapiens
GENE-EXPRESSION-1	NM_000204.3	CFI	3426	Homo sapiens
GENE-EXPRESSION-1	NM_002621.2	CFP	5199	Homo sapiens
GENE-EXPRESSION-1	NM_003465.2	CHIT1	1118	Homo sapiens
GENE-EXPRESSION-1	NM_001278.3	CHUK	1147	Homo sapiens
GENE-EXPRESSION-1	NM_181640.2	CKLF	51192	Homo sapiens
GENE-EXPRESSION-1	NM_194448.2	CLEC4A	50856	Homo sapiens
GENE-EXPRESSION-1	NM_203503.1	CLEC4C	170482	Homo sapiens
GENE-EXPRESSION-1	NM_013252.2	CLEC5A	23601	Homo sapiens
GENE-EXPRESSION-1	NM_001007033.1	CLEC6A	93978	Homo sapiens
GENE-EXPRESSION-1	NM_197954.2	CLEC7A	64581	Homo sapiens
GENE-EXPRESSION-1	NM_001831.2	CLU	1191	Homo sapiens
GENE-EXPRESSION-1	NM_001836.2	CMA1	1215	Homo sapiens
GENE-EXPRESSION-1	NM_004072.1	CMKLR1	1240	Homo sapiens
GENE-EXPRESSION-1	NM_000090.3	COL3A1	1281	Homo sapiens
GENE-EXPRESSION-1	NM_130386.2	COLEC12	81035	Homo sapiens
GENE-EXPRESSION-1	NM_000651.4	CR1	1378	Homo sapiens
GENE-EXPRESSION-1	NM_001006658.1	CR2	1380	Homo sapiens
GENE-EXPRESSION-1	NM_004379.3	CREB1	1385	Homo sapiens
GENE-EXPRESSION-1	NM_182898.2	CREB5	9586	Homo sapiens
GENE-EXPRESSION-1	NM_004380.2	CREBBP	1387	Homo sapiens
GENE-EXPRESSION-1	NM_000567.2	CRP	1401	Homo sapiens
GENE-EXPRESSION-1	NM_000757.4	CSF1	1435	Homo sapiens
GENE-EXPRESSION-1	NM_005211.2	CSF1R	1436	Homo sapiens
